Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
,,,,,,,,,,,,,,
NLKWR Dewi,4,4,12,0,70,7,5/18,10,5.83,10.2,0,1,0,0
NK Ariani,4,4,13,1,80,5,3/30,16,6.15,15.6,0,0,0,0
NM Suarniasih,4,4,11.3,0,80,1,1/22,80,6.95,69,0,0,0,0
L Qiao,4,4,12,0,86,0,-,-,7.16,-,0,0,1,0
D Wulandari,4,4,11,0,87,2,1/24,43.5,7.9,33,0,0,1,0
NKD Murtiari,4,3,9,0,77,1,1/44,77,8.55,54,0,0,0,0
NKD Indriyani,4,1,1,0,9,0,-,-,9,-,0,0,1,0
KA Kurniartini,4,-,-,-,-,-,-,-,-,-,-,-,2,0
IGASF Pratiwi,4,-,-,-,-,-,-,-,-,-,-,-,1,0
GAMR Ulansari,4,-,-,-,-,-,-,-,-,-,-,-,3,0
TFC Penu Weo,4,-,-,-,-,-,-,-,-,-,-,-,1,0
